"","DecisionM","DecisionF","LikeM","LikeF","PartnerYesM","PartnerYesF","AgeM","AgeF","RaceM","RaceF","AttractiveM","AttractiveF","SincereM","SincereF","IntelligentM","IntelligentF","FunM","FunF","AmbitiousM","AmbitiousF","SharedInterestsM","SharedInterestsF","second.date"
"1",0,0,6,7,5,5,27,21,"Caucasian","Caucasian",6,5,8,8,8,8,8,2,7,2,6,2,0
"2",1,0,8,7,4,3,22,22,"Caucasian","Asian",7,6,9,6,10,8,6,4,6,9,5,4,0
"3",1,0,10,6,10,2,22,23,"Asian","Asian",10,4,10,7,10,9,10,4,10,3,10,2,0
"4",1,1,9,7,7,8,23,24,"Caucasian","Caucasian",9,7,9,9,9,7,9,6,9,5,9,7,1
"5",1,1,7,5,8,5,24,26,"Latino","Other",7,5,9,10,8,8,9,8,7,5,7,5,1
"6",0,1,2,6,1,5,30,21,"Caucasian","Asian",3,7,6,6,7,7,5,4,8,6,7,7,0
"7",0,0,7,6,7,6,27,23,"Caucasian","Caucasian",6,5,7,9,8,9,6,5,6,9,5,7,0
"8",1,1,8,7,8,10,28,25,"Caucasian","Caucasian",8,8,7,8,8,5,10,9,8,8,10,9,1
"9",0,0,5,8,5,7,24,25,"Caucasian","Caucasian",5,8,6,7,8,9,5,7,8,9,6,7,0
"10",0,1,3,7,1,7,25,25,"Asian","Caucasian",5,6,6,8,6,9,5,7,7,7,3,8,0
"11",0,0,4,3,1,2,24,27,"Caucasian","Caucasian",4,4,6,7,7,8,3,2,6,6,4,2,0
"12",1,1,6,6,5,6,24,27,"Caucasian","Black",6,6,7,8,6,8,6,7,8,7,5,6,1
"13",1,1,7,7,7,5,28,21,"Caucasian","Asian",7,6,8,7,7,7,6,6,6,7,6,5,1
"14",1,0,6,7,6,7,30,27,"Caucasian","Caucasian",6,5,6,7,6,7,5,7,6,7,4,7,0
"15",0,0,6,2,7,5,22,26,"Caucasian","Caucasian",6,3,8,1,7,2,7,2,9,2,4,3,0
"16",1,1,6,7,9,7,25,21,"Asian","Asian",8,7,8,8,7,8,6,7,7,8,6,6,1
"17",0,1,7,7,7,3,27,30,"Black","Caucasian",6,7,8,9,8,7,8,7,8,10,5,5,0
"18",0,1,6,6,5,5,23,22,"Caucasian","Caucasian",5,6,8,7,5,7,3,4,3,6,3,6,0
"19",1,0,7,6,2,4,21,24,"Caucasian","Caucasian",8,3,8,8,8,8,6,5,7,5,5,5,0
"20",1,0,8,6,8,6,28,23,"Caucasian","Caucasian",9,6,9,8,9,8,9,6,8,7,8,5,0
"21",1,0,7,6,5,7,28,25,"Caucasian","Caucasian",8,5,9,8,9,8,9,6,7,9,5,6,0
"22",0,0,6,8,6,3,23,21,"Black","Asian",5,5,8,9,10,9,7,8,9,9,5,5,0
"23",1,1,10,8,10,8,22,26,"Other","Latino",10,8,10,9,10,9,10,9,10,8,10,8,1
"24",0,1,7,8,2,4,26,24,"Caucasian","Asian",5,6,7,6,9,9,7,8,5,8,4,5,0
"25",1,1,9,8,3,7,21,22,"Caucasian","Caucasian",6,10,9,9,8,9,6,8,8,8,6,7,1
"26",1,0,6,3,7,10,22,23,"Caucasian","Caucasian",7,3,8,10,7,5,5,3,7,5,5,4,0
"27",0,0,6,6,5,6,22,23,"Caucasian","Other",6,7,8,7,7,7,7,8,6,8,5,5,0
"28",0,1,5,8,1,8,25,29,"Caucasian","Other",6,9,8,10,8,10,7,9,7,10,5,8,0
"29",1,1,6,6,7,5,24,27,"Other","Asian",6,8,6,6,7,8,5,5,6,8,5,5,1
"30",0,0,8,5,6,5,28,26,"Asian","Asian",7,5,7,6,8,7,8,6,6,9,9,5,0
"31",0,0,5,6,4,6,26,32,"Caucasian","Latino",5,5,7,8,6,7,6,5,6,5,4,4,0
"32",0,0,6,6,7,5,29,28,"Caucasian","Caucasian",7,8,7,8,8,9,7,8,8,7,7,6,0
"33",0,1,5,7,6,4,28,23,"Caucasian","Asian",6,7,8,8,8,7,6,6,5,5,0,4,0
"34",1,0,6,4,9,9,30,23,"Other","Caucasian",6,3,8,10,8,9,8,5,6,9,4,5,0
"35",1,0,9,9,6,8,22,25,"Asian","Other",9,5,8,10,8,10,9,8,7,8,8,7,0
"36",0,0,4,5,6,5,32,30,"Caucasian","Caucasian",5,5,6,8,7,8,2,6,7,5,3,3,0
"37",0,1,8,7,5,7,27,27,"Caucasian","Asian",6,8,9,8,8,8,6,6,7,8,4,7,0
"38",1,1,8,4,9,3,21,35,"Caucasian","Latino",9,8,10,8,9,8,8,7,7,5,6.5,8,1
"39",1,0,7,7,6,8,24,23,"Caucasian","Caucasian",8,8,9,10,7,10,8,5,5,10,4,8,0
"40",1,1,7,9,5,3,25,23,"Asian","Latino",7,7,10,10,8,10,8,6,8,10,3,6,1
"41",0,1,4,7,4,7,27,29,"Asian","Caucasian",5,7,7,7,7,7,5,7,5,7,5,7,0
"42",0,1,10,8,1,1,22,21,"Other","Caucasian",10,8,10,10,10,9,10,10,10,5,10,5,0
"43",1,0,7,2,8,1,22,21,"Asian","Caucasian",8,4,7,8,6,7,5,5,5,9,5,3,0
"44",0,0,5,5,7,4,21,20,"Caucasian","Black",5,7,8,5,8,5,6,6,7,5,5,3,0
"45",1,1,7,7,8,6,22,21,"Caucasian","Caucasian",7,8,7,6,7,6,7,7,5,5,5,6,1
"46",1,1,9,9,8,9,21,20,"Caucasian","Other",10,9,9,10,8,8,9,8,9,7,7,9,1
"47",1,1,9,9,5,5,20,20,"Asian","Latino",9,9,6,9,8,9,6,8,6,10,6,2,1
"48",0,0,7,7,6,7,26,24,"Asian","Asian",6,7,10,7,10,7,6,8,7,6,5,8,0
"49",1,0,7,7,7,7,28,27,"Latino","Caucasian",8,5,7,8,7,8,7,8,7,7,8,7,0
"50",1,0,9,4,5,9,23,24,"Caucasian","Caucasian",10,4,8,5,8,6,7,4,7,6,5,4,0
"51",1,1,6,8,8,10,29,26,"Black","Asian",8,8,10,6,9,7,8,8,8,9,7,7,1
"52",0,1,5,8,3,7,22,30,"Caucasian","Black",7,8,9,9,10,10,8,7,8,9,4,5,0
"53",0,0,6,8,3,1,27,24,"Asian","Caucasian",5,9,6,9,7,9,7,8,6,9,5,8,0
"54",1,1,8,8,5,7,26,28,"Caucasian","Asian",8,8,10,8,8,8,8,8,8,6,6,7,1
"55",1,1,10,10,10,10,27,36,"Caucasian","Caucasian",9,10,10,9,10,10,8,10,8,8,8,8,1
"56",1,1,7,9,4,6,30,27,"Caucasian","Asian",8,8,9,8,10,7,5,8,9,8,5,9,1
"57",1,0,9,5,9,5,23,27,"Asian","Caucasian",8,5,8,9,8,7,8,5,8,7,8,5,0
"58",0,1,8,8,9,5,28,27,"Caucasian","Caucasian",9,8,8,8,8,8,8,7,8,8,8,6,0
"59",1,0,7,4,6,6,28,28,"Asian","Caucasian",8,3,7,8,7,8,8,3,7,7,5,2,0
"60",0,0,4,7,5,9,27,23,"Caucasian","Caucasian",4,5,7,8,8,7,5,7,6,8,4,7,0
"61",1,0,7,3,6,7,22,28,"Caucasian","Asian",7,5,8,6,8,5,8,6,8,5,7,6,0
"62",1,1,10,7,7,9,34,24,"Caucasian","Caucasian",10,8,10,9,10,9,10,7,10,6,10,9,1
"63",0,0,2,6,8,2,25,28,"Asian","Asian",3,6,8,5,8,6,4,6,7,7,6,4,0
"64",0,0,4,3,2,5,24,22,"Asian","Caucasian",5,2,5,6,7,7,8,2,5,4,2,2,0
"65",1,0,6,7,2,7,21,24,"Caucasian","Asian",8,7,8,8,5,8,8,7,5,8,8,5,0
"66",0,1,5,8,7,8,28,23,"Caucasian","Other",5,1,9,7,8,8,7,8,8,8,8,8,0
"67",1,0,7,4,9,5,24,30,"Caucasian","Latino",7,6,7,6,8,6,8,6,6,5,4,4,0
"68",1,1,8,8,7,7,25,22,"Asian","Black",8,8,10,8,8,9,6,8,9,9,9,9,1
"69",1,1,6,6,6,5,23,25,"Caucasian","Asian",7,5,8,8,8,7,7,9,9,8,5,5,1
"70",1,0,7,4,6,6,26,24,"Asian","Other",7,8,9,8,9,8,6,8,7,8,4,1,0
"71",0,1,7,8,5,7,27,31,"Caucasian","Black",5,2,10,8,8,8,7,7,5,8,5,5,0
"72",1,1,8,8,8,7,26,27,"Caucasian","Latino",6,7,10,10,8,10,8,7,6,10,6,5,1
"73",0,1,5,6,5,8,24,30,"Caucasian","Caucasian",4,4,4,9,6,9,6,4,6,9,5,4,0
"74",0,0,7,2,7,2,25,23,"Other","Asian",8,3,8,2,8,8,9,4,8,5,8,4,0
"75",1,0,6,6,3,7,27,28,"Asian","Caucasian",6,6,5,10,6,10,6,6,7,10,3,10,0
"76",1,0,6,5,5,2,27,22,"Caucasian","Caucasian",6,2,4,9,7,10,7,4,8,8,2,4,0
"77",1,0,8,7,7,7,28,25,"Latino","Black",8,5,10,8,9,8,9,9,9,9,6,5,0
"78",1,1,9,8,7,9,26,23,"Caucasian","Caucasian",8,8,8,10,7,7,9,9,8,7,8,8,1
"79",1,1,7,7,7,9,28,27,"Caucasian","Caucasian",8,8,9,8,7,9,9,9,5,8,5,6,1
"80",0,0,3,7,3,9,42,26,"Caucasian","Caucasian",5,6,8,8,8,7,7,7,7,6,3,6,0
"81",0,0,6,7,6,6,30,25,"Latino","Latino",7,6,7,10,7,10,6,10,7,8,5,7,0
"82",1,0,8,6,6,6,31,23,"Caucasian","Caucasian",8,6,9,8,8,6,8,6,8,8,7,8,0
"83",0,1,3,6,3,6,28,26,"Caucasian","Asian",8,7,6,7,8,6,10,6,9,5,2,5,0
"84",1,0,5,8,6,6,25,29,"Asian","Asian",5,5,6,10,5,10,5,9,4,6,3,7,0
"85",0,1,6,8,4,4,27,34,"Other","Caucasian",6,8,7,8,8,7,6,8,3,9,4,6,0
"86",0,1,5,5,6,3,25,22,"Other","Other",5,7,10,5,6,8,7,5,7,8,4,7,0
"87",1,0,5,5,7,6,21,26,"Caucasian","Caucasian",5,5,8,6,7,7,7,5,5,8,6,5,0
"88",1,1,7,7,7,6,26,23,"Caucasian","Asian",7,7,9,7,8,8,7,7,5,6,5,8,1
"89",0,0,5,5,2,5,32,27,"Caucasian","Asian",5,6,5,8,5,7,3,7,5,5,5,4,0
"90",0,1,7,8,3,8,25,25,"Caucasian","Caucasian",7,8,9,9,5,8,7,8,6,7,5,7,0
"91",1,0,6,5,3,5,25,23,"Caucasian","Caucasian",6,5,6,4,6,8,5,4,4,4,5,6,0
"92",1,0,8,4,6,8,27,28,"Caucasian","Latino",10,4,8,6,8,8,8,6,5,6,5,10,0
"93",1,0,7,8,2,2,23,32,"Black","Caucasian",7,9,7,8,7,8,0,8,7,6,0,2,0
"94",1,1,6,7,9,9,27,24,"Asian","Caucasian",8,7,8,10,9,7,9,6,9,9,9,3,1
"95",1,1,4.5,7,8,7,24,33,"Other","Asian",5,6,5,8,5,8,4,6,4,7,4,6,1
"96",1,0,5,8,5,5,22,26,"Caucasian","Black",8,6,7,10,8,10,7,9,5,10,8,5,0
"97",1,0,7,5,6,5,22,26,"Asian","Asian",7,5,7,5,5,5,5,5,6,5,9,5,0
"98",0,0,5,3,5,5,27,22,"Caucasian","Caucasian",5,5,5,9,7,8,5,6,5,8,5,2,0
"99",1,0,7,5,5,3,28,24,"Asian","Caucasian",7,5,8,7,6,7,6,9,6,9,5,3,0
"100",0,1,4,7,3,5,34,26,"Caucasian","Asian",5,7,7,8,8,7,6,6,7,6,3,8,0
"101",1,1,7,7,7,8,27,28,"Asian","Caucasian",7,7,9,8,9,9,8,9,5,9,8,6,1
"102",0,0,3,5,4,6,28,26,"Black","Asian",5,5,10,5,7,6,4,7,5,7,4,7,0
"103",0,1,6,7,7,6,28,25,"Latino","Other",5,6,8,7,7,9,8,3,6,6,7,4,0
"104",0,0,8,7,5,8,27,29,"Asian","Asian",8,5,9,8,8,8,7,7,6,7,7,6,0
"105",0,0,5,6,8,1,32,28,"Caucasian","Caucasian",8,7,10,8,10,9,8,3,10,5,4,5,0
"106",0,1,7,7,8,5,29,27,"Asian","Asian",5,7.5,8,8,6,8,7,7,5,7,6,5.5,0
"107",1,0,9,7,6,8,23,33,"Caucasian","Caucasian",9,6,8,10,8,9,6,8,7,8,9,7,0
"108",0,0,7,6,7,5,27,28,"Caucasian","Caucasian",6,6,8,9,7,8,8,7,6,5,6,5,0
"109",0,0,4,3,4,2,32,35,"Other","Caucasian",5,4,7,9,7,10,4,6,5,9,4,2,0
"110",1,0,9,7,5,6,27,30,"Caucasian","Asian",9,6,8,8,10,8,7,6,7,6,7,6,0
"111",1,1,7,9,7,8,25,24,"Caucasian","Asian",5,10,8,10,7,10,8,10,5,10,5,8,1
"112",0,1,4,7,7,6,30,22,"Caucasian","Caucasian",4,9,8,7,7,8,4,7,6,7,2,5,0
"113",0,1,7,6,1,6,29,34,"Other","Caucasian",7,5,7,10,7,10,6,5,7,10,6,2,0
"114",1,1,9,7,9,10,26,21,"Caucasian","Caucasian",9,3,9,10,7,10,8,8,9,9,8,10,1
"115",0,0,6,6,5,6,29,22,"Caucasian","Asian",4,6,8,6,7,8,7,6,5,6,6,4,0
"116",1,1,10,3,10,5,30,23,"Asian","Caucasian",10,1,10,10,9,10,10,6,10,5,10,1,1
"117",0,1,8,7,6,5,23,30,"Caucasian","Latino",5,7,8,7,7,7,7,7,6,5,6,5,0
"118",0,1,5,6,8,7,29,34,"Asian","Caucasian",5,10,8,8,7,7,7,6,5,6,7,7,0
"119",0,1,6,6,4,7,24,30,"Caucasian","Caucasian",5,8,8,7,6,8,6,8,6,8,6,8,0
"120",0,0,4,5,1,8,25,22,"Latino","Asian",6,4,3,9,7,8,6,4,9,7,1,4,0
"121",1,0,6,7,6,4,28,29,"Caucasian","Caucasian",7,6,9,8,8,8,6,6,6,7,6,3,0
"122",1,0,6,8,7,3,27,29,"Other","Caucasian",8,8,8,8,8,8,7,8,8,8,7,3,0
"123",1,1,9,8,7,7,27,35,"Latino","Asian",9,8,9,8,9,8,9,8,9,8,7,8,1
"124",0,1,5,7,5,5,30,24,"Caucasian","Caucasian",3,10,8,9,6,9,6,7,5,9,2,7,0
"125",0,1,6,9,6,7,27,29,"Caucasian","Other",6,9,8,8,7,8,6,9,5,6,5,9,0
"126",0,1,4,8,6,6,27,24,"Caucasian","Other",4,7,9,6,7,6,5,7,7,7,4,6,0
"127",1,1,6.5,7,6,7,24,31,"Other","Caucasian",7,6,8,10,7,9,8,8,7,6,6,6,1
"128",1,1,10,8,10,10,25,22,"Caucasian","Caucasian",10,5,9,10,10,8,10,10,10,6,10,10,1
"129",0,0,5,8,4,2,28,23,"Caucasian","Asian",6,8,9,8,7,8,7,8,5,8,3,5,0
"130",0,0,5,2,5,2,30,26,"Asian","Caucasian",5,7,7,5,5,5,5,5,4,6,3,1,0
"131",0,1,3,8,5,7,27,24,"Caucasian","Caucasian",2,9,4,6,4,7,2,7,5,7,2,7,0
"132",1,1,10,10,10,10,25,26,"Asian","Asian",10,10,10,10,10,10,10,10,10,10,10,10,1
"133",1,1,7,7,6,7,26,26,"Asian","Latino",8,6,8,7,8,7,7,7,6,6,5,8,1
"134",0,1,6,6,6,5,24,33,"Caucasian","Black",6,4,8,7,8,7,7,5,7,7,7,7,0
"135",0,0,5,5,2,6,22,26,"Caucasian","Caucasian",5,2,7,10,7,8,4,7,4,9,2,2,0
"136",1,1,8,6,4,5,23,28,"Caucasian","Caucasian",7,8,7,8,7,8,5,6,5,8,5,4,1
"137",0,1,10,10,5,10,24,24,"Caucasian","Caucasian",10,10,10,10,10,10,10,10,10,10,10,10,0
"138",1,0,7,8,8,3,24,38,"Latino","Caucasian",7,7,6,9,8,8,7,9,7,8,6,9,0
"139",1,1,8,7,7,7,23,23,"Caucasian","Caucasian",7,7,9,10,8,10,8,6,7,8,6,7,1
"140",1,1,7,7,3,8,27,28,"Caucasian","Caucasian",7,7,8,9,8,8,4,8,5,6,8,6,1
"141",0,0,6,7,7,6,34,24,"Caucasian","Caucasian",6,9.5,9,7,8,7,7,8,4,9,5,6,0
"142",0,0,7,7,7,7,26,22,"Caucasian","Caucasian",6,8,8,8,6,8,6,7,6,7,5,6,0
"143",1,0,5,2,5,6,31,24,"Caucasian","Caucasian",5,6,5,6,5,8,5,4,5,10,5,1,0
"144",0,0,7,6,5,6,30,29,"Caucasian","Caucasian",6,6,9,8,6,7,6,4,6,8,4,5,0
"145",1,0,8,6,6,6,24,25,"Asian","Asian",7,7,7,8,8,7,8,5,8,5,7,5,0
"146",1,0,8,3,6,5,28,25,"Caucasian","Latino",5,3,8,5,9,7,8,4,7,8,6,2,0
"147",0,0,4,2,6,6,24,29,"Caucasian","Caucasian",3,3,8,3,5,4,4,3,2,8,7,2,0
"148",0,1,8,6,8,8,28,28,"Caucasian","Caucasian",6,8,10,8,9,8,8,5,8,5,9,5,0
"149",1,0,7,6,7,8,27,22,"Caucasian","Caucasian",7,7,9,6,9,7,9,5,7,7,6,3,0
"150",0,0,4,6,5,5,21,30,"Caucasian","Other",6,8,9,7,8,7,9,5,8,5,8,7,0
"151",0,1,7,10,7,10,24,23,"Caucasian","Caucasian",9,10,9,10,9,10,10,10,8,10,5,10,0
"152",1,0,5,8,3,10,25,23,"Caucasian","Caucasian",8,7,1,10,5,8,5,10,5,8,0,7,0
"153",0,1,6,9,7,9,27,28,"Latino","Caucasian",7,8,9,10,6,9,5,9,3,10,5,9,0
"154",0,1,7,8,8,5,30,23,"Caucasian","Caucasian",7,7,9,7,7,8,6,9,5,9,6,8,0
"155",1,0,8,7,5,8,28,27,"Latino","Caucasian",8,7,10,5,9,5,8,3,5,3,3,5,0
"156",0,0,4,5,3,1,26,29,"Asian","Caucasian",4,7,5,7,6,9,5,3,5,9,4,0,0
"157",1,0,7,5,1,2,23,22,"Other","Asian",10,5,7,6,8,9,7,8,8,8,5,5,0
"158",1,0,7,5,6,1,25,29,"Caucasian","Caucasian",8,5,7,9,7,10,7,5,5,9,5,5,0
"159",1,0,6,3,4,5,30,23,"Asian","Caucasian",6,2,6,7,5,10,6,2,5,10,4,2,0
"160",1,0,8,5,7,5,29,27,"Asian","Asian",8,7,9,7,7,8,8,8,6,8,7,3,0
"161",1,0,4,5,4,1,27,29,"Asian","Caucasian",5,3,5,10,5,10,4,3,5,10,4,0,0
"162",0,1,9,9,10,7,33,27,"Caucasian","Caucasian",5,9,10,9,8,9,8,9,7,9,7,9,0
"163",0,0,5,5,6,5,27,24,"Other","Asian",5,5,5,7,7,7,6,6,6,7,7,7,0
"164",1,0,7,1,4,1,33,26,"Asian","Asian",8,2,6,10,7,5,6,1,7,5,4,2,0
"165",1,0,6,5,3,5,23,29,"Asian","Asian",5,6,6,8,6,8,5,7,7,9,5,3,0
"166",0,1,5,7,1,1,33,55,"Asian","Asian",5,8,9,7,9,8,5,8,4,8,2,6,0
"167",1,0,7,6,6,7,23,27,"Caucasian","Latino",5,6,8,8,7,7,7,3,8,3,5,6,0
"168",0,0,6,6,4,4,30,25,"Caucasian","Caucasian",6,6,6,7,7,7,6,6,6,8,6,5,0
"169",0,0,8,3,8,6,28,27,"Caucasian","Caucasian",9,3,10,6,10,7,10,5,8,4,5,1,0
"170",1,0,8,7,6,5,24,30,"Asian","Black",7,4,6,10,7,9,7,5,7,7,5,5,0
"171",1,1,8,7,5,7,29,29,"Asian","Asian",8,5,8,5,8,5,8,8,8,5,8,5,1
"172",1,1,7,7,8,7,28,30,"Caucasian","Asian",6,7,8,7,9,7,7,7,8,7,6,6,1
"173",1,0,7,6,6,7,29,25,"Caucasian","Other",8,3,7,8,7,8,6,4,6,8,8,8,0
"174",0,0,10,5,2,5,30,24,"Other","Caucasian",10,7,10,6,10,8,10,5,10,7,1,1,0
"175",0,1,6,10,6,8,30,34,"Caucasian","Asian",8,10,8,9,9,10,6,10,9,10,5,9,0
"176",1,0,7,6,6,2,32,25,"Other","Asian",7,4,7,4,6,8,5,6,5,7,5,3,0
"177",1,0,9,8,10,9,26,24,"Asian","Caucasian",9,6,8,9,8,8,8,8,8,10,8,6,0
"178",1,0,7,6,6,5,25,26,"Caucasian","Caucasian",6,5,8,8,5,8,6,7,5,7,7,6,0
"179",1,0,8,6,8,5,23,23,"Caucasian","Asian",8,6,10,7,10,8,8,7,7,9,7,6,0
"180",0,0,7,5,3,5,27,26,"Asian","Caucasian",5,5,8,5,9,4,6,2,8,8,6,1,0
"181",0,0,2,3,5,3,24,25,"Asian","Caucasian",6,5,6,8,7,10,4,3,4,8,6,3,0
"182",1,1,8,6,5,7,24,25,"Asian","Black",7,8,9,7,9,8,7,8,9,7,7,6,1
"183",1,0,7,7,8,5,36,26,"Asian","Caucasian",7,7,9,7,8,7,8,6,8,7,6,5,0
"184",0,1,5,9,1,1,25,26,"Asian","Latino",5,4,10,3,10,9,10,4,10,9,5,5,0
"185",1,1,8,7,7,7,24,23,"Other","Asian",8,5,9,5,8,8,8,7,9,6,7,6,1
"186",1,1,10,8,10,10,23,27,"Caucasian","Asian",9,10,7,10,9,10,8,9,8,5,6,6,1
"187",0,0,3,4,6,5,29,22,"Caucasian","Asian",6,5,9,4,9,6,6,6,8,5,7,4,0
"188",0,0,6,3,1,3,22,24,"Asian","Other",5,5,7,5,7,8,7,6,4,8,2,3,0
"189",1,1,6,8,6,6,32,26,"Caucasian","Caucasian",7,8,7,9,6,9,6,10,6,10,6,8,1
"190",1,1,8,8,10,9,22,22,"Caucasian","Caucasian",9,6,6,4,10,8,9,10,8,7,8,8,1
"191",0,1,6,6,6,5,24,25,"Caucasian","Asian",7,4,7,9,7,4,8,7,5,8,5,4,0
"192",1,0,6,5,5,7,23,30,"Asian","Latino",6,4,7,9,6,8,8,6,5,7,4,2,0
"193",1,0,8,5,8,5,23,23,"Asian","Caucasian",7,7,10,9,6,9,7,7,6,10,0,2,0
"194",1,1,7,7,8,5,23,27,"Asian","Asian",5,5,8,6,7,5,7,5,6,5,6,6,1
"195",1,0,9,3,8,1,24,29,"Caucasian","Latino",7,1,9,5,8,5,10,4,6,5,5,3,0
"196",1,1,8,5,8,7,30,23,"Caucasian","Caucasian",8,7,7,5,7,7,9,7,6,7,6,9,1
"197",0,1,6,6,6,7,30,23,"Caucasian","Caucasian",6,7,6,8,7,9,8,5,10,7,1,5,0
"198",0,0,7,6,3,5,30,28,"Caucasian","Other",2,7,10,7,8,7,10,5,2,5,4,5,0
"199",0,0,6,6,3,8,30,26,"Caucasian","Caucasian",6,6,7,8,7,8,7,6,4,8,6,5,0
"200",1,0,7,4,5,3,27,28,"Black","Asian",5,5,7,5,8,6,7,3,8,5,7,3,0
